Code zone (FAO),Zone,dispo_calorique_totale_kcal_personne_jour,dispo_gras_g_personne_jour,dispo_proteique_totale_g_personne_jour,dispo_interieure_ktonnes,exportations_ktonnes,importations_ktonnes,pertes_ktonnes,production_ktonnes,variation_stock_ktonnes,population,nb_sousalimentes,dispo_calorique_totale_pays_kcal_jour,taux_sousnutrition_pct,taux_couverture_kcal_pct,taux_couverture_prot_pct,taux_autosuffisance_pct,taux_dependance_import_pct,taux_pertes_pct,pop_nourrissable_theorique
102,Iran (République islamique d'),2875.16,83.26,79.62,92105.0,3306.0,15524.0,5239.0,82308.0,1.0,90608710.0,6100000.0,260514538643.59998,6.732244615335546,115.0064,128.41935483870967,89.36322675207643,16.854676727647792,5.688073394495413,104205815.45743999
103,Iraq,2763.83,59.42,74.49,28019.0,442.0,18911.0,1328.0,10730.0,114.0,38660890.0,6000000.0,106852127608.7,15.51955994805086,110.55319999999999,120.14516129032258,38.2954423783861,67.49348656268961,4.739640957921411,42740851.04348
104,Irlande,3920.9,153.97,136.84,19914.0,8063.0,13021.0,204.0,14447.0,-8.0,5196630.0,129915.75,20375466567.0,2.5,156.83599999999998,220.70967741935482,72.5469518931405,65.38616049010746,1.0244049412473637,8150186.6268
105,Israël,3753.91,155.53,130.72,12969.0,1278.0,7294.0,234.0,6831.0,0.0,9256310.0,231407.75,34747354672.1,2.5,150.1564,210.83870967741936,52.67175572519084,56.24180738684556,1.8043025676613464,13898941.86884
106,Italie,3752.65,160.77,116.61,101569.0,32372.0,56568.0,1837.0,77516.0,-28.0,59499450.0,1487486.25,223280611042.5,2.5,150.106,188.08064516129033,76.31856176589314,55.69415865076943,1.8086227096850416,89312244.417
107,Côte d'Ivoire,2937.76,56.269999999999996,64.97999999999999,34289.0,4707.0,5309.0,2259.0,34421.0,1.0,31165650.0,3500000.0,91557199944.0,11.230312860472988,117.51040000000002,104.8064516129032,100.38496310770218,15.48309953629444,6.588118638630465,36622879.9776
108,Kazakhstan,3135.9,116.94,106.7,33204.0,15273.0,11136.0,1735.0,36866.0,6.0,20330100.0,508252.5,63753160590.0,2.5,125.436,172.09677419354838,111.02879171184195,33.53812793639321,5.22527406336586,25501264.236
109,Jamaïque,2892.0499999999997,88.12,91.63,3773.0,174.0,1831.0,172.0,2179.0,-2.0,2839790.0,200000.0,8212814669.499999,7.042774289648178,115.682,147.79032258064515,57.75245163000265,48.52902199840975,4.558706599522926,3285125.8677999997
112,Jordanie,2556.02,84.44,71.09,9481.0,1049.0,5799.0,212.0,4136.0,0.0,11439210.0,1500000.0,29238849544.2,13.11279362823132,102.2408,114.66129032258065,43.624090285834825,61.164434131420734,2.236051049467356,11695539.81768
113,Kirghizistan,2763.22,83.61,92.84,9392.0,424.0,1885.0,359.0,7937.0,33.0,7073520.0,300000.0,19545691934.399998,4.241169884300885,110.52879999999999,149.74193548387098,84.50809199318569,20.070272572402047,3.8224020442930153,7818276.773759999
114,Kenya,2145.9900000000002,48.58,55.760000000000005,40832.0,1941.0,7094.0,2317.0,36838.0,-8.0,55339000.0,20100000.0,118756940610.00002,36.32158152478361,85.8396,89.93548387096774,90.21845611285266,17.373628526645767,5.674471003134796,47502776.244
115,Cambodge,2642.92,34.57,64.39,26271.0,10021.0,2376.0,1701.0,34221.0,8.0,17423880.0,900000.0,46049920929.6,5.165324830060813,105.7168,103.85483870967742,130.26150508164898,9.044193216855087,6.474820143884892,18419968.37184
117,République de Corée,3430.35,126.32000000000001,110.62,67690.0,3496.0,36792.0,2018.0,33099.0,-36.0,51748740.0,1293718.5,177516290259.0,2.5,137.214,178.41935483870967,48.89791697444231,54.35367114788004,2.9812379967498894,71006516.1036
118,Koweït,3135.57,108.73,95.51,4807.0,667.0,4604.0,88.0,782.0,-75.0,4838780.0,120969.5,15172333404.6,2.5,125.42280000000001,154.0483870967742,16.267942583732058,95.77699188683171,1.8306636155606408,6068933.36184
119,Lettonie,3342.19,151.43,110.81,3528.0,6280.0,4868.0,59.0,4878.0,8.0,1882400.0,47060.0,6291338456.0,2.5,133.6876,178.72580645161293,138.26530612244898,137.98185941043084,1.6723356009070294,2516535.3824
120,République démocratique populaire lao,3188.12,42.1,81.65,16896.0,5278.0,1430.0,1351.0,21460.0,-1.0,7664990.0,700000.0,24436907918.8,9.132432005782135,127.5248,131.6935483870968,127.0123106060606,8.463541666666668,7.995975378787879,9774763.16752
121,Liban,2827.65,89.87,79.55,5898.0,412.0,2773.0,236.0,3589.0,5.0,5773490.0,700000.0,16325408998.5,12.124382306022873,113.106,128.3064516129032,60.851135978297734,47.01593760596812,4.001356391997287,6530163.5994
122,Lesotho,1872.7,42.04,50.56,1044.0,68.0,632.0,35.0,556.0,0.0,2311470.0,,4328689869.0,,74.908,81.5483870967742,53.25670498084292,60.53639846743295,3.3524904214559386,1731475.9476
123,Libéria,2135.15,44.199999999999996,45.02,3143.0,39.0,1512.0,130.0,1982.0,0.0,5493030.0,2100000.0,11728443004.5,38.23026635572717,85.406,72.61290322580646,63.0607699650016,48.10690423162583,4.136175628380529,4691377.2018
124,Libye,2867.17,111.01,86.46,7211.0,10.0,4319.0,255.0,2718.0,22.0,7305660.0,1300000.0,20946569182.2,17.794422406736697,114.6868,139.4516129032258,37.692414366939396,59.89460546387464,3.536264041048398,8378627.67288
